day,campaign_network,adgroup_network,creative_network,cost,network_impressions,network_clicks,installs,iniciou cadastro_events,registro completo sms_events,usuário tem benefício inss_events,usuário é servidor govba_events,usuário é servidor govsp_events,usuário é servidor prefsp_events,usuário é servidor govmt_events,usuário é lead_events,aceitar oferta_events,proposta paga_events,primeira compra_events,primeira compra govba_events,primeira compra govsp_events,primeira compra govmt_events,primeira compra prefsp_events,primeira compra inss_events,recompra_events,all_revenue
2023-08-11,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_390k_1_br_25-65_auto_lead,story_vid_cn_video-adri_possibilidades_v3_app_usar-app_original_s-leg,"15,85",570,16,7,11,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,prefsp_geral_fb_app_conversao_cold_and,lal_servidores-prefsp_40k_1_sp_22-64_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"15,82",932,17,7,10,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govmt_geral_fb_app_conversao_cold_and,lal_pm-govmt_2k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"15,78",745,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lal_base-govsp_200k_2_sp_22-64_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"15,71",800,1,1,2,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,all_geral_tk_app_conversao_cold_and,lal_servidor-expanded-deviceprice_36k_1_sp-ba-mt_18-55_auto_lead,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"15,68",2172,47,27,33,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,prefsp_geral_fb_app_conversao_cold_and,lal_servidores-prefsp_40k_1_sp_22-64_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"15,67",881,11,6,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"15,61",841,11,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,prefsp_geral_fb_app_conversao_cold_and,lal_servidores-prefsp_40k_1_sp_22-64_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"15,54",920,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,lal_base-govsp_200k_2_sp_22-64_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"15,53",594,7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,prefsp_geral_fb_app_conversao_cold_and,lista_base-prefsp_106k_0_sp_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"15,46",571,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
